time,'Pressure: P (psi)', 'valves: V1'
15:01:11.950000,89.14956011730204, 'A'
15:01:12.215000,88.36754643206255, 'A'
15:01:12.465000,88.17204301075269, 'A'
15:01:12.730000,88.7585532746823, 'A'
15:01:12.996000,88.56304985337243, 'A'
15:01:13.261000,89.73607038123167, 'A'
15:01:13.526000,89.24731182795699, 'A'
15:01:13.776000,88.95405669599218, 'A'
15:01:14.041000,88.26979472140762, 'A'
15:01:14.291000,89.14956011730204, 'A'
15:01:14.557000,88.17204301075269, 'A'
15:01:14.822000,88.85630498533725, 'A'
15:01:15.087000,88.85630498533725, 'A'
15:01:15.337000,88.85630498533725, 'A'
15:01:15.602000,88.17204301075269, 'A'
15:01:15.852000,88.66080156402737, 'A'
15:01:16.117000,88.85630498533725, 'A'
15:01:16.383000,88.95405669599218, 'A'
15:01:16.632000,89.34506353861192, 'A'
15:01:16.898000,88.95405669599218, 'A'
15:01:17.741000,89.24731182795699, 'closed'
15:01:17.787000,89.24731182795699, 'closed'
15:01:18.521000,70.86999022482894, 'B'
15:01:18.817000,29.814271749755623, 'B'
15:01:18.974000,24.34017595307918, 'B'
15:01:19.239000,16.715542521994134, 'B'
15:01:19.504000,11.534701857282501, 'B'
15:01:19.754000,6.8426197458455515, 'B'
15:01:20.019000,1.9550342130987293, 'B'
15:01:20.285000,0.39100684261974583, 'B'
15:01:20.550000,0.8797653958944283, 'B'
15:01:21.299000,0.19550342130987292, 'closed'
15:01:21.408000,0.4887585532746823, 'closed'
15:01:21.580000,0.4887585532746823, 'closed'
15:01:21.830000,0.6842619745845552, 'closed'
15:01:22.095000,0.19550342130987292, 'closed'
15:01:22.360000,0.19550342130987292, 'closed'
15:01:22.626000,0.2932551319648094, 'closed'
15:01:23.016000,0.7820136852394917, 'closed'
15:01:23.141000,0.0, 'closed'
15:01:23.391000,0.2932551319648094, 'closed'
15:01:23.656000,0.19550342130987292, 'closed'
15:01:23.921000,0.5865102639296188, 'closed'
15:01:24.187000,0.0, 'closed'
15:01:24.436000,0.6842619745845552, 'closed'
15:01:24.702000,0.6842619745845552, 'closed'
15:01:24.967000,0.0, 'closed'
15:01:25.217000,0.0, 'closed'
15:01:25.482000,0.19550342130987292, 'closed'
15:01:25.747000,0.6842619745845552, 'closed'
15:01:26.013000,0.0, 'closed'
15:01:26.262000,0.09775171065493646, 'closed'
15:01:26.528000,0.7820136852394917, 'closed'
15:01:26.777000,0.0, 'closed'
15:01:27.043000,0.0, 'closed'
15:01:27.293000,0.8797653958944283, 'closed'
15:01:27.558000,0.19550342130987292, 'closed'
15:01:27.823000,0.0, 'closed'
15:01:28.089000,0.0, 'closed'
15:01:28.338000,0.19550342130987292, 'closed'
15:01:28.604000,0.0, 'closed'
15:01:28.853000,0.0, 'closed'
15:01:29.119000,0.0, 'closed'
15:01:29.384000,0.39100684261974583, 'closed'
15:01:29.649000,0.0, 'closed'
15:01:29.915000,0.5865102639296188, 'closed'
15:01:30.164000,0.6842619745845552, 'closed'
15:01:30.430000,0.5865102639296188, 'closed'
15:01:30.679000,0.0, 'closed'
15:01:30.945000,0.6842619745845552, 'closed'
15:01:31.210000,0.09775171065493646, 'closed'
15:01:31.475000,0.0, 'closed'
15:01:31.725000,0.8797653958944283, 'closed'
15:01:31.991000,0.0, 'closed'
15:01:32.240000,0.7820136852394917, 'closed'
15:01:32.506000,0.4887585532746823, 'closed'
15:01:32.771000,0.0, 'closed'
15:01:33.021000,0.8797653958944283, 'closed'
15:01:33.286000,0.09775171065493646, 'closed'
15:01:33.536000,0.6842619745845552, 'closed'
15:01:33.801000,0.09775171065493646, 'closed'
15:01:34.066000,0.19550342130987292, 'closed'
15:01:34.316000,0.0, 'closed'
15:01:34.581000,0.0, 'closed'
15:01:34.847000,0.39100684261974583, 'closed'
15:01:35.097000,0.5865102639296188, 'closed'
15:01:35.362000,0.0, 'closed'
15:01:35.627000,0.0, 'closed'
15:01:35.893000,0.0, 'closed'
15:01:36.142000,0.6842619745845552, 'closed'
15:01:36.392000,0.4887585532746823, 'closed'
15:01:36.657000,0.0, 'closed'
15:01:36.923000,0.4887585532746823, 'closed'
15:01:37.204000,0.2932551319648094, 'closed'
15:01:37.438000,0.4887585532746823, 'closed'
15:01:37.703000,0.4887585532746823, 'closed'
15:01:37.968000,0.19550342130987292, 'closed'
15:01:38.218000,0.0, 'closed'
15:01:38.483000,0.0, 'closed'
15:01:38.733000,0.0, 'closed'
15:01:38.998000,0.2932551319648094, 'closed'
15:01:39.264000,0.0, 'closed'
15:01:39.514000,0.0, 'closed'
