time,'analPins: B (volts)', 'analPins: A (volts)'
16:02:44.530729,0.9921798631476051, 1.0068426197458455
16:02:44.779691,0.9628543499511242, 0.9775171065493646
16:02:45.030594,1.0068426197458455, 1.021505376344086
16:02:45.281480,0.9628543499511242, 0.9628543499511242
16:02:45.530396,1.0019550342130987, 1.0166177908113392
16:02:45.780557,0.9579667644183774, 0.9726295210166178
16:02:46.029899,0.9970674486803519, 1.0117302052785924
16:02:46.281555,1.0312805474095796, 0.967741935483871
16:02:46.530793,1.0068426197458455, 1.021505376344086
16:02:46.781348,0.967741935483871, 0.967741935483871
16:02:47.031748,0.9872922776148583, 1.0019550342130987
16:02:47.282362,0.9579667644183774, 0.9726295210166178
16:02:47.530639,0.9775171065493646, 0.9921798631476051
16:02:47.781677,0.9579667644183774, 0.9726295210166178
16:02:48.031989,1.0117302052785924, 1.0263929618768328
16:02:48.282652,1.0166177908113392, 1.0312805474095796
16:02:48.532267,1.0068426197458455, 1.0263929618768328
16:02:48.783188,0.9628543499511242, 0.9775171065493646
16:02:49.032951,1.021505376344086, 1.0117302052785924
16:02:49.282869,1.021505376344086, 1.0019550342130987
16:02:49.533017,1.0117302052785924, 1.0263929618768328
16:02:49.783945,0.9726295210166178, 0.9872922776148583
16:02:50.034605,1.0263929618768328, 0.9970674486803519
16:02:50.283462,0.9628543499511242, 0.9824046920821115
16:02:50.533531,1.0263929618768328, 0.9921798631476051
16:02:50.783520,0.967741935483871, 0.967741935483871
16:02:51.033727,1.0263929618768328, 0.9775171065493646
16:02:51.282760,1.0263929618768328, 0.9579667644183774
16:02:51.534122,0.9921798631476051, 1.0068426197458455
16:02:51.783714,0.967741935483871, 0.9824046920821115
16:02:52.034017,0.967741935483871, 0.9824046920821115
16:02:52.284417,1.9696969696969697, 3.978494623655914
16:02:52.534419,2.0527859237536656, 4.002932551319648
16:02:52.784467,2.0332355816226784, 3.9980449657869013
16:02:53.034690,2.043010752688172, 4.007820136852395
16:02:53.285122,1.9550342130987293, 3.983382209188661
16:02:53.534336,1.989247311827957, 4.037145650048876
16:02:53.784883,1.9794721407624634, 4.037145650048876
16:02:54.035402,2.0527859237536656, 4.007820136852395
16:02:54.285592,1.964809384164223, 4.002932551319648
16:02:54.535340,1.9990224828934506, 4.032258064516129
16:02:54.784599,1.9696969696969697, 4.012707722385142
16:02:55.035586,2.0039100684261975, 4.027370478983382
16:02:55.285068,1.9501466275659824, 3.978494623655914
16:02:55.534657,2.0234604105571847, 3.9931573802541545
16:02:55.786895,1.9843597262952102, 4.037145650048876
16:02:56.036042,2.018572825024438, 3.9931573802541545
16:02:56.285455,1.9696969696969697, 4.012707722385142
16:02:56.536513,2.0283479960899315, 4.0175953079178885
16:02:56.786416,1.9550342130987293, 3.9882697947214076
16:02:57.036789,2.013685239491691, 3.9931573802541545
16:02:57.287645,2.0039100684261975, 3.9882697947214076
16:02:57.536622,2.0332355816226784, 4.012707722385142
16:02:57.787107,1.9745845552297165, 4.027370478983382
16:02:58.036767,1.9990224828934506, 4.032258064516129
16:02:58.287479,1.9745845552297165, 4.032258064516129
16:02:58.537590,2.018572825024438, 3.9931573802541545
16:02:58.788461,1.9794721407624634, 4.042033235581623
16:02:59.036545,1.989247311827957, 3.983382209188661
16:02:59.287783,1.989247311827957, 4.037145650048876
16:02:59.537925,1.9794721407624634, 3.983382209188661
16:02:59.787879,2.013685239491691, 4.022482893450635
16:03:00.037687,1.9941348973607038, 3.9882697947214076
16:03:00.290201,1.9941348973607038, 4.032258064516129
16:03:00.537869,1.9990224828934506, 3.9882697947214076
16:03:00.787988,1.989247311827957, 4.037145650048876
16:03:01.038820,2.038123167155425, 4.012707722385142
16:03:01.289224,1.935483870967742, 3.9638318670576735
16:03:01.539378,1.9745845552297165, 3.978494623655914
16:03:01.788752,1.9843597262952102, 4.037145650048876
16:03:02.038949,2.018572825024438, 3.9931573802541545
16:03:02.288809,2.013685239491691, 4.022482893450635
16:03:02.539540,1.9941348973607038, 3.983382209188661
16:03:02.789342,1.9550342130987293, 3.9882697947214076
16:03:03.039276,1.964809384164223, 3.973607038123167
16:03:03.290427,1.964809384164223, 3.973607038123167
16:03:03.539467,2.038123167155425, 4.012707722385142
16:03:03.789585,2.0087976539589443, 4.027370478983382
16:03:04.040568,1.9794721407624634, 3.983382209188661
16:03:04.290151,1.9403714565004888, 3.9687194525904204
16:03:04.539655,1.9745845552297165, 3.978494623655914
16:03:04.790311,1.964809384164223, 4.007820136852395
16:03:05.040083,1.9403714565004888, 3.9638318670576735
16:03:05.290573,1.9696969696969697, 4.012707722385142
16:03:05.540555,1.9501466275659824, 3.973607038123167
16:03:05.790767,1.989247311827957, 4.037145650048876
16:03:06.040240,1.9696969696969697, 3.978494623655914
16:03:06.291652,1.935483870967742, 3.9638318670576735
16:03:06.541465,2.047898338220919, 4.002932551319648
16:03:06.791764,2.018572825024438, 4.022482893450635
16:03:07.041055,2.0527859237536656, 4.002932551319648
16:03:07.291589,1.9941348973607038, 4.032258064516129
16:03:07.541895,1.959921798631476, 3.973607038123167
16:03:07.792131,1.9452590420332356, 3.9687194525904204
16:03:08.042144,1.989247311827957, 3.983382209188661
16:03:08.292638,2.0283479960899315, 4.0175953079178885
16:03:08.542936,2.0039100684261975, 3.9882697947214076
16:03:08.791559,2.018572825024438, 4.022482893450635
16:03:09.042806,1.935483870967742, 3.9687194525904204
16:03:09.293134,2.0234604105571847, 4.0175953079178885
16:03:09.541825,1.935483870967742, 3.9638318670576735
16:03:09.792014,2.0332355816226784, 4.012707722385142
16:03:10.042167,2.0039100684261975, 3.9882697947214076
16:03:10.293261,2.018572825024438, 4.022482893450635
16:03:10.542058,1.959921798631476, 3.9980449657869013
16:03:10.793456,1.9990224828934506, 4.027370478983382
16:03:11.043846,2.0234604105571847, 3.9931573802541545
16:03:11.293631,2.0527859237536656, 4.007820136852395
16:03:11.544166,1.9550342130987293, 3.983382209188661
16:03:11.831190,2.013685239491691, 4.022482893450635
16:03:12.043954,1.964809384164223, 4.002932551319648
16:03:12.293616,1.964809384164223, 4.002932551319648
16:03:12.544349,3.9638318670576735, 2.0087976539589443
16:03:12.793111,4.002932551319648, 1.9501466275659824
16:03:13.043530,3.9687194525904204, 1.9941348973607038
16:03:13.293508,3.9687194525904204, 2.0087976539589443
16:03:13.545136,3.9687194525904204, 1.989247311827957
16:03:13.795081,4.012707722385142, 1.9696969696969697
16:03:14.043959,3.983382209188661, 1.964809384164223
16:03:14.294678,4.022482893450635, 2.0087976539589443
16:03:14.545473,3.9638318670576735, 1.9941348973607038
16:03:14.794146,4.0175953079178885, 1.989247311827957
16:03:15.045360,3.9687194525904204, 2.0087976539589443
16:03:15.296053,3.9638318670576735, 2.0039100684261975
16:03:15.544717,4.002932551319648, 2.0234604105571847
16:03:15.794644,4.012707722385142, 1.9843597262952102
16:03:16.045224,3.973607038123167, 1.9794721407624634
16:03:16.295676,4.027370478983382, 2.0234604105571847
16:03:16.546192,3.9687194525904204, 1.9941348973607038
16:03:16.796452,4.0175953079178885, 1.989247311827957
16:03:17.045626,3.9687194525904204, 1.9941348973607038
16:03:17.297091,4.007820136852395, 1.9745845552297165
16:03:17.545743,3.9687194525904204, 1.9941348973607038
16:03:17.796013,4.037145650048876, 2.047898338220919
16:03:18.047083,3.9589442815249267, 2.0039100684261975
16:03:18.297310,4.032258064516129, 2.043010752688172
16:03:18.546519,3.9687194525904204, 1.9941348973607038
16:03:18.797429,3.9980449657869013, 1.935483870967742
16:03:19.047804,3.978494623655914, 1.9745845552297165
16:03:19.296769,4.042033235581623, 2.043010752688172
16:03:19.547855,3.9638318670576735, 2.0039100684261975
16:03:19.798778,4.022482893450635, 2.0332355816226784
16:03:20.048159,3.9882697947214076, 1.9550342130987293
16:03:20.298579,4.012707722385142, 1.964809384164223
16:03:20.547188,4.022482893450635, 2.038123167155425
16:03:20.797128,4.002932551319648, 1.9501466275659824
16:03:21.048359,3.978494623655914, 2.013685239491691
16:03:21.298920,3.9931573802541545, 1.9403714565004888
16:03:21.548551,4.037145650048876, 2.043010752688172
16:03:21.797937,3.983382209188661, 1.959921798631476
16:03:22.049062,3.973607038123167, 1.9843597262952102
16:03:22.298578,4.002932551319648, 1.9501466275659824
16:03:22.548002,4.032258064516129, 2.043010752688172
16:03:22.799669,4.002932551319648, 1.9550342130987293
16:03:23.048985,3.973607038123167, 1.9745845552297165
16:03:23.300157,4.002932551319648, 1.9501466275659824
16:03:23.550322,3.9687194525904204, 1.989247311827957
16:03:23.799263,4.027370478983382, 2.0283479960899315
16:03:24.049441,4.027370478983382, 2.038123167155425
16:03:24.300922,4.0175953079178885, 1.9990224828934506
16:03:24.550646,3.9638318670576735, 1.9941348973607038
16:03:24.799384,3.9980449657869013, 1.9403714565004888
16:03:25.049605,4.037145650048876, 2.0527859237536656
16:03:25.301079,4.032258064516129, 2.038123167155425
16:03:25.550949,4.037145650048876, 2.047898338220919
16:03:25.802659,4.0175953079178885, 1.9941348973607038
16:03:26.050455,3.978494623655914, 2.013685239491691
16:03:26.301484,3.9931573802541545, 1.9452590420332356
16:03:26.550873,3.978494623655914, 1.9745845552297165
16:03:26.801442,3.9882697947214076, 1.9501466275659824
16:03:27.051679,4.027370478983382, 2.0283479960899315
16:03:27.302720,4.027370478983382, 2.0283479960899315
16:03:27.551886,3.9687194525904204, 2.0087976539589443
16:03:27.802217,3.983382209188661, 1.959921798631476
16:03:28.052397,4.022482893450635, 2.013685239491691
16:03:28.302288,4.027370478983382, 2.018572825024438
16:03:28.552338,4.022482893450635, 2.018572825024438
16:03:28.801675,4.007820136852395, 1.9696969696969697
16:03:29.052202,3.983382209188661, 2.013685239491691
16:03:29.302598,3.983382209188661, 1.964809384164223
16:03:29.552670,4.037145650048876, 2.0527859237536656
16:03:29.803055,3.973607038123167, 1.9843597262952102
16:03:30.053398,4.032258064516129, 2.038123167155425
16:03:30.304119,4.0175953079178885, 1.9941348973607038
16:03:30.553566,3.9638318670576735, 1.9990224828934506
16:03:30.802755,3.978494623655914, 1.9794721407624634
16:03:31.053668,4.032258064516129, 2.038123167155425
16:03:31.304119,3.978494623655914, 1.9745845552297165
16:03:31.554038,4.027370478983382, 2.018572825024438
16:03:31.804023,4.022482893450635, 2.0087976539589443
16:03:32.053993,4.037145650048876, 2.043010752688172
16:03:32.304715,3.973607038123167, 1.9843597262952102
16:03:32.553102,3.973607038123167, 1.9843597262952102
16:03:32.803316,0.0, 0.0
16:03:33.054285,0.0, 0.0
16:03:33.304367,0.0, 0.0
16:03:33.553902,0.0, 0.0
16:03:33.803711,0.0, 0.0
16:03:34.055114,0.0, 0.0
16:03:34.305053,0.0, 0.0
16:03:34.554966,0.0, 0.0
16:03:34.804425,0.0, 0.0
16:03:35.055127,0.0, 0.0
16:03:35.305343,0.0, 0.0
16:03:35.555540,0.0, 0.0
16:03:35.805257,0.0, 0.0
16:03:36.055461,0.0, 0.0
16:03:36.306214,0.0, 0.0
16:03:36.556077,0.0, 0.0
16:03:36.806157,0.0, 0.0
16:03:37.055754,0.0, 0.0
16:03:37.305323,0.0, 0.0
16:03:37.555940,0.0, 0.0
16:03:37.806886,0.0, 0.0
16:03:38.056225,0.0, 0.0
16:03:38.305975,0.0, 0.0
16:03:38.557299,0.0, 0.0
16:03:38.806723,0.0, 0.0
16:03:39.056723,0.0, 0.0
16:03:39.307974,0.0, 0.0
16:03:39.557671,0.0, 0.0
16:03:39.806506,0.0, 0.0
16:03:40.058233,0.0, 0.0
16:03:40.306809,0.0, 0.0
16:03:40.557986,0.0, 0.0
16:03:40.851043,0.0, 0.0
16:03:41.056901,0.0, 0.0
16:03:41.307148,0.0, 0.0
16:03:41.558739,0.0, 0.0
16:03:41.807217,0.0, 0.0
16:03:42.057717,0.0, 0.0
16:03:42.309856,0.0, 0.0
16:03:42.593946,0.0, 0.0
16:03:42.807917,0.0, 0.0
16:03:43.058467,0.0, 0.0
16:03:43.308966,0.0, 0.0
